,Country,Species,Year,inland_Unit,inland_TON_Value,inland_TON_Flags,COUNTRY_YEAR_SPECIES
67,Australia,FRESHWATER CRUSTACEANS,2017,Tonnes,0.0,,AUS_2017_41
68,Australia,FRESHWATER CRUSTACEANS,2018,Tonnes,0.0,,AUS_2018_41
69,Australia,FRESHWATER CRUSTACEANS,2019,Tonnes,0.0,,AUS_2019_41
70,Australia,FRESHWATER CRUSTACEANS,2020,Tonnes,0.0,,AUS_2020_41
71,Australia,FRESHWATER CRUSTACEANS,2021,Tonnes,0.0,,AUS_2021_41
72,Australia,Australian crayfish [Euastacus armatus],2010,Tonnes,0.0,,AUS_2010_AYA
73,Australia,Australian crayfish [Euastacus armatus],2011,Tonnes,24.0,,AUS_2011_AYA
74,Australia,Australian crayfish [Euastacus armatus],2012,Tonnes,15.0,,AUS_2012_AYA
75,Australia,Australian crayfish [Euastacus armatus],2013,Tonnes,0.0,,AUS_2013_AYA
76,Australia,Australian crayfish [Euastacus armatus],2014,Tonnes,0.0,,AUS_2014_AYA
77,Australia,Australian crayfish [Euastacus armatus],2015,Tonnes,0.0,,AUS_2015_AYA
78,Australia,Australian crayfish [Euastacus armatus],2016,Tonnes,0.0,,AUS_2016_AYA
79,Australia,Australian crayfish [Euastacus armatus],2017,Tonnes,0.0,,AUS_2017_AYA
80,Australia,Australian crayfish [Euastacus armatus],2018,Tonnes,0.0,,AUS_2018_AYA
81,Australia,Australian crayfish [Euastacus armatus],2019,Tonnes,0.0,,AUS_2019_AYA
82,Australia,Australian crayfish [Euastacus armatus],2020,Tonnes,0.0,,AUS_2020_AYA
83,Australia,Australian crayfish [Euastacus armatus],2021,Tonnes,0.0,,AUS_2021_AYA
84,Austria,TOTAL SPECIES,2010,Tonnes,350.0,,AUT_2010_SPECIES_TOTAL
85,Austria,TOTAL SPECIES,2011,Tonnes,350.0,,AUT_2011_SPECIES_TOTAL
86,Austria,TOTAL SPECIES,2012,Tonnes,300.0,,AUT_2012_SPECIES_TOTAL
87,Austria,TOTAL SPECIES,2013,Tonnes,350.0,,AUT_2013_SPECIES_TOTAL
88,Austria,TOTAL SPECIES,2014,Tonnes,350.0,,AUT_2014_SPECIES_TOTAL
89,Austria,TOTAL SPECIES,2015,Tonnes,350.0,,AUT_2015_SPECIES_TOTAL
90,Austria,TOTAL SPECIES,2016,Tonnes,350.0,,AUT_2016_SPECIES_TOTAL
91,Austria,TOTAL SPECIES,2017,Tonnes,350.0,,AUT_2017_SPECIES_TOTAL
92,Austria,TOTAL SPECIES,2018,Tonnes,350.0,,AUT_2018_SPECIES_TOTAL
93,Austria,TOTAL SPECIES,2019,Tonnes,350.0,Estimated value,AUT_2019_SPECIES_TOTAL
94,Austria,TOTAL SPECIES,2020,Tonnes,350.0,Estimated value,AUT_2020_SPECIES_TOTAL
95,Austria,TOTAL SPECIES,2021,Tonnes,350.0,Estimated value,AUT_2021_SPECIES_TOTAL
96,Austria,FRESHWATER FISHES,2010,Tonnes,350.0,,AUT_2010_1
97,Austria,FRESHWATER FISHES,2011,Tonnes,350.0,,AUT_2011_1
98,Austria,FRESHWATER FISHES,2012,Tonnes,300.0,,AUT_2012_1
99,Austria,FRESHWATER FISHES,2013,Tonnes,350.0,,AUT_2013_1
100,Austria,FRESHWATER FISHES,2014,Tonnes,350.0,,AUT_2014_1
101,Austria,FRESHWATER FISHES,2015,Tonnes,350.0,,AUT_2015_1
102,Austria,FRESHWATER FISHES,2016,Tonnes,350.0,,AUT_2016_1
103,Austria,FRESHWATER FISHES,2017,Tonnes,350.0,,AUT_2017_1
104,Austria,FRESHWATER FISHES,2018,Tonnes,350.0,,AUT_2018_1
105,Austria,FRESHWATER FISHES,2019,Tonnes,350.0,Estimated value,AUT_2019_1
106,Austria,FRESHWATER FISHES,2020,Tonnes,350.0,Estimated value,AUT_2020_1
107,Austria,FRESHWATER FISHES,2021,Tonnes,350.0,Estimated value,AUT_2021_1
108,Austria,MISCELLANEOUS FRESHWATER FISHES,2010,Tonnes,350.0,,AUT_2010_13
109,Austria,MISCELLANEOUS FRESHWATER FISHES,2011,Tonnes,350.0,,AUT_2011_13
110,Austria,MISCELLANEOUS FRESHWATER FISHES,2012,Tonnes,300.0,,AUT_2012_13
111,Austria,MISCELLANEOUS FRESHWATER FISHES,2013,Tonnes,350.0,,AUT_2013_13
112,Austria,MISCELLANEOUS FRESHWATER FISHES,2014,Tonnes,350.0,,AUT_2014_13
113,Austria,MISCELLANEOUS FRESHWATER FISHES,2015,Tonnes,350.0,,AUT_2015_13
114,Austria,MISCELLANEOUS FRESHWATER FISHES,2016,Tonnes,350.0,,AUT_2016_13
115,Austria,MISCELLANEOUS FRESHWATER FISHES,2017,Tonnes,350.0,,AUT_2017_13
116,Austria,MISCELLANEOUS FRESHWATER FISHES,2018,Tonnes,350.0,,AUT_2018_13
117,Austria,MISCELLANEOUS FRESHWATER FISHES,2019,Tonnes,350.0,Estimated value,AUT_2019_13
118,Austria,MISCELLANEOUS FRESHWATER FISHES,2020,Tonnes,350.0,Estimated value,AUT_2020_13
119,Austria,MISCELLANEOUS FRESHWATER FISHES,2021,Tonnes,350.0,Estimated value,AUT_2021_13
120,Austria,Freshwater fishes nei [Actinopterygii],2010,Tonnes,350.0,,AUT_2010_FRF
121,Austria,Freshwater fishes nei [Actinopterygii],2011,Tonnes,350.0,,AUT_2011_FRF
122,Austria,Freshwater fishes nei [Actinopterygii],2012,Tonnes,300.0,,AUT_2012_FRF
123,Austria,Freshwater fishes nei [Actinopterygii],2013,Tonnes,350.0,,AUT_2013_FRF
124,Austria,Freshwater fishes nei [Actinopterygii],2014,Tonnes,350.0,,AUT_2014_FRF
125,Austria,Freshwater fishes nei [Actinopterygii],2015,Tonnes,350.0,,AUT_2015_FRF
126,Austria,Freshwater fishes nei [Actinopterygii],2016,Tonnes,350.0,,AUT_2016_FRF
127,Austria,Freshwater fishes nei [Actinopterygii],2017,Tonnes,350.0,,AUT_2017_FRF
128,Austria,Freshwater fishes nei [Actinopterygii],2018,Tonnes,350.0,,AUT_2018_FRF
