,Country,Species,Year,aq_TON,aq_TON_Value,aq_TON_Flags,COUNTRY_YEAR_SPECIES,aq_USD,aq_USD_Value,aq_USD_Flags
51,Australia,DIADROMOUS FISHES,2015,Tonnes,52385.17,,AUS_2015_2,US Dollar,387100108.0,
52,Australia,DIADROMOUS FISHES,2016,Tonnes,59861.473,,AUS_2016_2,US Dollar,466157768.0,
53,Australia,DIADROMOUS FISHES,2017,Tonnes,56919.515,,AUS_2017_2,US Dollar,554057648.0,
54,Australia,DIADROMOUS FISHES,2018,Tonnes,67095.145,,AUS_2018_2,US Dollar,628206791.0,
55,Australia,DIADROMOUS FISHES,2019,Tonnes,60603.045,,AUS_2019_2,US Dollar,593557918.0,
56,Australia,DIADROMOUS FISHES,2020,Tonnes,70560.493,,AUS_2020_2,US Dollar,635072762.0,
57,Australia,DIADROMOUS FISHES,2021,Tonnes,92155.972,,AUS_2021_2,US Dollar,912300513.0,
58,Australia,RIVER EELS,2012,Tonnes,72.13,,AUS_2012_22,US Dollar,851996.0,
59,Australia,RIVER EELS,2017,Tonnes,6.0,,AUS_2017_22,US Dollar,64656.0,
60,Australia,RIVER EELS,2018,Tonnes,14.0,,AUS_2018_22,US Dollar,92572.0,
61,Australia,Speckled longfin eel [Anguilla reinhardtii],2012,Tonnes,72.13,,AUS_2012_AAR,US Dollar,851996.0,
62,Australia,Speckled longfin eel [Anguilla reinhardtii],2017,Tonnes,6.0,,AUS_2017_AAR,US Dollar,64656.0,
63,Australia,Speckled longfin eel [Anguilla reinhardtii],2018,Tonnes,14.0,,AUS_2018_AAR,US Dollar,92572.0,
64,Australia,"SALMONS, TROUTS, SMELTS",2012,Tonnes,44151.2,,AUS_2012_23,US Dollar,531818137.0,
65,Australia,"SALMONS, TROUTS, SMELTS",2013,Tonnes,43027.28,,AUS_2013_23,US Dollar,500070558.0,
66,Australia,"SALMONS, TROUTS, SMELTS",2014,Tonnes,41846.37,,AUS_2014_23,US Dollar,388836384.0,
67,Australia,"SALMONS, TROUTS, SMELTS",2015,Tonnes,48613.57,,AUS_2015_23,US Dollar,359268695.0,
68,Australia,"SALMONS, TROUTS, SMELTS",2016,Tonnes,56319.36,,AUS_2016_23,US Dollar,440177071.0,
69,Australia,"SALMONS, TROUTS, SMELTS",2017,Tonnes,52799.565,,AUS_2017_23,US Dollar,522528443.0,
70,Australia,"SALMONS, TROUTS, SMELTS",2018,Tonnes,61412.712,,AUS_2018_23,US Dollar,587833469.0,
71,Australia,"SALMONS, TROUTS, SMELTS",2019,Tonnes,57238.374,,AUS_2019_23,US Dollar,574321041.0,
72,Australia,"SALMONS, TROUTS, SMELTS",2020,Tonnes,67133.085,,AUS_2020_23,US Dollar,599012915.0,
73,Australia,"SALMONS, TROUTS, SMELTS",2021,Tonnes,84341.234,,AUS_2021_23,US Dollar,847581521.0,
74,Australia,Atlantic salmon [Salmo salar],2012,Tonnes,43982.0,,AUS_2012_SAL,US Dollar,529850926.0,
75,Australia,Atlantic salmon [Salmo salar],2013,Tonnes,42825.01,,AUS_2013_SAL,US Dollar,497895480.0,
76,Australia,Atlantic salmon [Salmo salar],2014,Tonnes,41590.66,,AUS_2014_SAL,US Dollar,386340304.0,
77,Australia,Atlantic salmon [Salmo salar],2015,Tonnes,48330.56,,AUS_2015_SAL,US Dollar,357099042.0,
78,Australia,Atlantic salmon [Salmo salar],2016,Tonnes,56115.197,,AUS_2016_SAL,US Dollar,438421494.0,
79,Australia,Atlantic salmon [Salmo salar],2017,Tonnes,52580.2,,AUS_2017_SAL,US Dollar,520459153.0,
80,Australia,Atlantic salmon [Salmo salar],2018,Tonnes,61227.0,,AUS_2018_SAL,US Dollar,585777510.0,
81,Australia,Atlantic salmon [Salmo salar],2019,Tonnes,56989.34,,AUS_2019_SAL,US Dollar,572465914.0,
82,Australia,Atlantic salmon [Salmo salar],2020,Tonnes,66918.495,,AUS_2020_SAL,US Dollar,597073273.0,
83,Australia,Atlantic salmon [Salmo salar],2021,Tonnes,84045.234,,AUS_2021_SAL,US Dollar,845045795.0,
84,Australia,Brook trout [Salvelinus fontinalis],2012,Tonnes,0.0,,AUS_2012_SVF,US Dollar,0.0,
85,Australia,Brook trout [Salvelinus fontinalis],2013,Tonnes,0.0,,AUS_2013_SVF,US Dollar,0.0,
86,Australia,Rainbow trout [Oncorhynchus mykiss],2012,Tonnes,4.2,,AUS_2012_TRR,US Dollar,63170.0,
87,Australia,Rainbow trout [Oncorhynchus mykiss],2013,Tonnes,4.27,,AUS_2013_TRR,US Dollar,61739.0,
88,Australia,Rainbow trout [Oncorhynchus mykiss],2014,Tonnes,2.71,,AUS_2014_TRR,US Dollar,28484.0,
89,Australia,Rainbow trout [Oncorhynchus mykiss],2015,Tonnes,5.66,,AUS_2015_TRR,US Dollar,38099.0,
90,Australia,Rainbow trout [Oncorhynchus mykiss],2016,Tonnes,8.459,,AUS_2016_TRR,US Dollar,54896.0,
91,Australia,Rainbow trout [Oncorhynchus mykiss],2017,Tonnes,8.318,,AUS_2017_TRR,US Dollar,58715.0,
92,Australia,Rainbow trout [Oncorhynchus mykiss],2018,Tonnes,4.147,,AUS_2018_TRR,US Dollar,52305.0,
93,Australia,Rainbow trout [Oncorhynchus mykiss],2019,Tonnes,4.0,,AUS_2019_TRR,US Dollar,41015.0,
94,Australia,Rainbow trout [Oncorhynchus mykiss],2020,Tonnes,7.59,,AUS_2020_TRR,US Dollar,80597.0,
